"vote","black","hisp","pid7","income","age","educ_attain"
0,1,0,1,24,55,3
0,1,0,1,2,30,2
1,0,0,6,16,64,1
0,0,0,1,22,46,2
0,0,1,4,22,53,4
0,0,0,2,7,23,3
1,0,0,4,14,77,3
0,0,0,2,1,22,5
1,0,0,7,24,20,3
1,0,0,6,27,46,5
1,0,0,7,15,33,4
0,1,0,1,1,28,3
1,0,0,5,1,54,3
0,0,0,1,7,60,3
1,0,1,6,15,40,5
1,0,0,7,11,44,3
0,0,1,1,13,19,3
1,0,0,6,24,79,4
1,0,0,6,25,46,3
1,0,0,4,17,63,2
1,0,0,6,15,30,4
0,0,0,2,13,65,2
0,0,0,6,21,39,3
1,0,0,7,22,44,3
1,0,0,6,12,54,3
0,0,0,4,20,36,2
1,0,0,7,11,66,5
1,0,0,7,21,68,4
0,0,0,6,25,47,3
1,0,0,7,23,38,3
1,0,0,4,18,19,3
0,0,0,1,24,69,5
0,0,0,6,28,55,5
0,0,0,6,24,73,5
0,0,0,4,19,39,4
1,0,0,6,21,73,3
1,0,0,5,7,53,2
0,0,0,1,23,65,5
0,1,0,1,5,66,3
1,0,0,7,20,28,3
1,0,0,7,17,55,2
0,1,0,1,5,70,3
0,0,0,2,28,34,3
0,0,0,1,23,77,5
1,0,0,7,13,58,4
0,0,0,1,27,50,5
0,0,0,6,20,50,3
0,0,0,1,22,69,3
0,0,0,3,17,50,5
1,0,0,4,14,64,4
1,0,0,7,27,41,4
1,0,0,7,26,61,4
1,0,0,7,20,34,2
0,0,0,1,17,55,4
1,0,0,1,18,66,1
0,0,0,1,25,42,5
0,0,0,2,25,37,4
1,0,0,4,23,59,3
0,0,0,1,21,27,5
0,0,0,5,5,67,3
0,0,1,1,27,49,5
1,0,0,7,25,34,5
0,1,0,3,1,28,3
0,0,0,1,13,54,5
0,0,1,1,15,33,2
0,0,0,3,19,41,4
1,0,0,7,19,61,3
1,0,0,7,22,28,4
1,0,0,7,21,32,4
1,0,0,7,27,38,2
1,0,0,6,25,32,4
0,0,0,2,22,47,4
0,0,1,4,18,47,4
1,0,0,7,24,64,3
1,0,0,2,19,56,2
0,0,1,1,17,46,2
0,0,0,1,4,68,3
0,0,0,2,14,60,4
1,0,0,5,26,66,5
0,0,0,1,21,86,4
1,0,0,2,18,89,5
0,0,0,2,25,36,5
0,0,0,3,15,65,3
0,0,0,2,24,44,4
0,0,0,3,19,75,5
0,0,0,3,17,69,4
0,0,0,2,19,72,3
1,0,0,7,18,47,3
1,0,0,7,26,43,4
1,0,0,5,26,31,5
1,0,0,4,15,76,2
1,0,0,7,7,74,3
0,1,0,1,12,39,4
0,0,0,1,13,34,2
0,0,0,3,17,63,4
0,0,0,1,2,61,2
0,0,0,4,8,39,5
0,1,0,1,1,48,4
0,0,0,1,24,35,4
1,0,0,7,21,64,2
1,0,0,1,1,21,1
